datetime,country,electricity_demand (MWh),electricity_demand_per_capita (kWh/person),electricity_demand_per_capita_with_access (kWh/person)
2016-01-01 00:00:00,Seychelles,42.858605974308645,0.3902054515305423,0.3902054515305423
2016-01-01 01:00:00,Seychelles,41.61594063453951,0.3788916260109573,0.3788916260109573
2016-01-01 02:00:00,Seychelles,40.346948997347404,0.36733811316278275,0.36733811316278275
2016-01-01 03:00:00,Seychelles,39.75819996539733,0.36197785758218914,0.36197785758218914
2016-01-01 04:00:00,Seychelles,39.93333096320331,0.36357233478279716,0.36357233478279716
2016-01-01 05:00:00,Seychelles,40.0694097957682,0.3648112622070014,0.3648112622070014
2016-01-01 06:00:00,Seychelles,40.04205986352657,0.3645622552125584,0.3645622552125584
2016-01-01 07:00:00,Seychelles,39.928714668317326,0.3635303058042657,0.3635303058042657
2016-01-01 08:00:00,Seychelles,41.11950507755656,0.37437183689825343,0.37437183689825343
2016-01-01 09:00:00,Seychelles,42.89041567475283,0.39049506240898096,0.39049506240898096
2016-01-01 10:00:00,Seychelles,44.16509941721071,0.40210039893305216,0.40210039893305216
2016-01-01 11:00:00,Seychelles,44.92283266895387,0.4089991684780388,0.4089991684780388
2016-01-01 12:00:00,Seychelles,44.918146806653034,0.4089565061241581,0.4089565061241581
2016-01-01 13:00:00,Seychelles,44.68915820699368,0.40687168330049966,0.40687168330049966
2016-01-01 14:00:00,Seychelles,43.78288113267325,0.39862049904105445,0.39862049904105445
2016-01-01 15:00:00,Seychelles,43.5360460065521,0.39637319281976857,0.39637319281976857
2016-01-01 16:00:00,Seychelles,44.25031453131169,0.40287623849477117,0.40287623849477117
2016-01-01 17:00:00,Seychelles,45.23478537993341,0.4118393366467589,0.4118393366467589
2016-01-01 18:00:00,Seychelles,47.346924147012125,0.4310692682454944,0.4310692682454944
2016-01-01 19:00:00,Seychelles,50.11650976821398,0.4562849135821951,0.4562849135821951
2016-01-01 20:00:00,Seychelles,49.394941633995266,0.4497154087366188,0.4497154087366188
2016-01-01 21:00:00,Seychelles,46.39617361819267,0.42241317617350116,0.42241317617350116
2016-01-01 22:00:00,Seychelles,43.74676570615941,0.39829168675260757,0.39829168675260757
2016-01-01 23:00:00,Seychelles,40.95149480157148,0.37284219018874937,0.37284219018874937
